R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Michal Oleksiejczuk;Ovince Saint Preux;0;0;37 of 78;14 of 48;47%;29%;39 of 80;20 of 54;0 of 0;1 of 2;---;50%;0;1;0;0;1:30;0:50;23 of 59;5 of 36;13 of 18;9 of 12;1 of 1;0 of 0;32 of 71;11 of 45;2 of 2;3 of 3;3 of 5;0 of 0;Submission;2;2:46;3 Rnd (5-5-5);Leon Roberts;September 28, 2019;Copenhagen, Denmark;Light Heavyweight Bout;Ovince Saint Preux
Alen Amedovski;John Phillips;0;1;2 of 11;5 of 8;18%;62%;2 of 11;5 of 8;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:02;2 of 11;4 of 7;0 of 0;1 of 1;0 of 0;0 of 0;2 of 11;3 of 6;0 of 0;0 of 0;0 of 0;2 of 2;KO/TKO;1;0:17;3 Rnd (5-5-5);Neil Hall;September 28, 2019;Copenhagen, Denmark;Middleweight Bout;John Phillips
Nicolas Dalby;Alex Oliveira;0;0;31 of 84;18 of 47;36%;38%;64 of 122;31 of 65;1 of 4;3 of 4;25%;75%;0;0;1;0;5:28;3:56;19 of 64;14 of 40;5 of 12;0 of 2;7 of 8;4 of 5;9 of 45;13 of 36;11 of 18;1 of 3;11 of 21;4 of 8;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rebin Saber;September 28, 2019;Copenhagen, Denmark;Welterweight Bout;Nicolas Dalby
Gunnar Nelson;Gilbert Burns;0;0;20 of 36;30 of 76;55%;39%;26 of 45;46 of 99;0 of 2;1 of 3;0%;33%;0;1;0;0;4:48;1:55;9 of 23;8 of 47;4 of 5;8 of 11;7 of 8;14 of 18;18 of 32;19 of 55;2 of 3;10 of 18;0 of 1;1 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Neil Hall;September 28, 2019;Copenhagen, Denmark;Welterweight Bout;Gilbert Burns
Jack Hermansson;Jared Cannonier;0;1;20 of 42;28 of 53;47%;52%;22 of 45;29 of 54;1 of 6;0 of 0;16%;---;0;0;0;0;0:45;0:22;5 of 21;21 of 43;2 of 5;2 of 3;13 of 16;5 of 7;19 of 41;10 of 34;1 of 1;1 of 2;0 of 0;17 of 17;KO/TKO;2;0:27;5 Rnd (5-5-5-5-5);Marc Goddard;September 28, 2019;Copenhagen, Denmark;Middleweight Bout;Jared Cannonier
Mark Madsen;Danilo Belluardo;0;0;22 of 29;0 of 1;75%;0%;24 of 31;0 of 1;1 of 2;0 of 0;50%;---;0;0;0;0;0:51;0:00;22 of 29;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;0 of 2;0 of 1;1 of 1;0 of 0;21 of 26;0 of 0;KO/TKO;1;1:12;3 Rnd (5-5-5);Leon Roberts;September 28, 2019;Copenhagen, Denmark;Lightweight Bout;Mark Madsen
Alessio Di Chirico;Makhmud Muradov;0;0;36 of 113;54 of 169;31%;31%;37 of 114;56 of 171;0 of 2;0 of 3;0%;0%;0;0;0;0;0:43;0:38;31 of 100;32 of 133;0 of 4;19 of 32;5 of 9;3 of 4;30 of 104;49 of 160;6 of 9;5 of 9;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mikkel Birch Olsen;September 28, 2019;Copenhagen, Denmark;Middleweight Bout;Makhmud Muradov
Siyar Bahadurzada;Ismail Naurdiev;0;0;12 of 96;69 of 126;12%;54%;14 of 98;149 of 218;0 of 0;3 of 3;---;100%;0;0;0;0;0:00;5:44;10 of 89;30 of 71;2 of 5;15 of 24;0 of 2;24 of 31;12 of 95;63 of 113;0 of 1;0 of 0;0 of 0;6 of 13;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;September 28, 2019;Copenhagen, Denmark;Welterweight Bout;Ismail Naurdiev
Macy Chiasson;Lina Lansberg;0;0;26 of 47;21 of 39;55%;53%;58 of 94;49 of 91;0 of 4;2 of 4;0%;50%;0;0;0;0;5:47;7:45;4 of 22;18 of 36;21 of 23;2 of 2;1 of 2;1 of 1;4 of 18;2 of 8;22 of 29;8 of 15;0 of 0;11 of 16;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;September 28, 2019;Copenhagen, Denmark;Women's Bantamweight Bout;Lina Lansberg
Brandon Davis;Giga Chikadze;0;0;34 of 99;59 of 119;34%;49%;36 of 103;71 of 133;3 of 7;1 of 2;42%;50%;0;0;0;1;3:02;1:11;20 of 77;44 of 91;5 of 9;8 of 16;9 of 13;7 of 12;26 of 91;43 of 99;3 of 3;0 of 0;5 of 5;16 of 20;Decision - Split;3;5:00;3 Rnd (5-5-5);Rebin Saber;September 28, 2019;Copenhagen, Denmark;Featherweight Bout;Giga Chikadze
Marc Diakiese;Lando Vannata;0;0;40 of 99;25 of 70;40%;35%;45 of 111;51 of 108;4 of 7;0 of 1;57%;0%;0;0;0;0;5:08;0:06;16 of 52;4 of 36;10 of 25;8 of 12;14 of 22;13 of 22;31 of 84;24 of 66;2 of 3;1 of 4;7 of 12;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Neil Hall;September 28, 2019;Copenhagen, Denmark;Lightweight Bout;Marc Diakiese
Jack Shore;Nohelin Hernandez;0;0;46 of 92;6 of 36;50%;16%;81 of 139;9 of 39;4 of 7;0 of 0;57%;---;1;0;0;1;6:31;0:40;33 of 76;5 of 34;2 of 2;0 of 0;11 of 14;1 of 2;26 of 58;4 of 32;3 of 4;2 of 4;17 of 30;0 of 0;Submission;3;2:51;3 Rnd (5-5-5);Mikkel Birch Olsen;September 28, 2019;Copenhagen, Denmark;Bantamweight Bout;Jack Shore
Martin Bravo;Steven Peterson;0;1;86 of 199;49 of 105;43%;46%;93 of 206;53 of 109;2 of 5;0 of 0;40%;---;0;0;0;0;0:38;0:01;60 of 157;33 of 84;20 of 33;12 of 17;6 of 9;4 of 4;85 of 198;46 of 98;1 of 1;1 of 2;0 of 0;2 of 5;KO/TKO;2;1:31;3 Rnd (5-5-5);Herb Dean;September 21, 2019;Mexico City, Distrito Federal, Mexico;Featherweight Bout;Steven Peterson
Jose Quinonez;Carlos Huachin;1;0;60 of 117;32 of 115;51%;27%;71 of 130;37 of 121;2 of 5;0 of 0;40%;---;0;0;0;0;4:13;0:00;36 of 80;22 of 84;8 of 13;6 of 25;16 of 24;4 of 6;40 of 92;30 of 109;0 of 1;0 of 2;20 of 24;2 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;September 21, 2019;Mexico City, Distrito Federal, Mexico;Bantamweight Bout;Jose Quinonez
Carla Esparza;Alexa Grasso;0;0;44 of 80;45 of 103;55%;43%;115 of 157;103 of 169;4 of 11;0 of 1;36%;0%;0;1;1;1;7:11;0:18;27 of 60;41 of 97;11 of 14;4 of 6;6 of 6;0 of 0;28 of 59;34 of 88;6 of 9;3 of 6;10 of 12;8 of 9;Decision - Majority;3;5:00;3 Rnd (5-5-5);Jason Herzog;September 21, 2019;Mexico City, Distrito Federal, Mexico;Women's Strawweight Bout;Carla Esparza
Ariane Carnelossi;Angela Hill;0;0;72 of 186;92 of 184;38%;50%;83 of 197;93 of 185;0 of 1;0 of 0;0%;---;0;0;0;0;0:38;0:59;36 of 137;60 of 137;15 of 26;32 of 46;21 of 23;0 of 1;57 of 156;57 of 139;15 of 30;35 of 45;0 of 0;0 of 0;TKO - Doctor's Stoppage;3;1:56;3 Rnd (5-5-5);Fernando Salas Navarro;September 21, 2019;Mexico City, Distrito Federal, Mexico;Women's Strawweight Bout;Angela Hill
Marco Polo Reyes;Kyle Nelson;0;0;6 of 10;12 of 16;60%;75%;7 of 11;12 of 16;0 of 0;0 of 2;---;0%;0;0;0;0;0:00;0:50;0 of 3;8 of 12;5 of 6;4 of 4;1 of 1;0 of 0;3 of 7;2 of 3;3 of 3;10 of 13;0 of 0;0 of 0;KO/TKO;1;1:36;3 Rnd (5-5-5);Jason Herzog;September 21, 2019;Mexico City, Distrito Federal, Mexico;Featherweight Bout;Kyle Nelson
Brandon Moreno;Askar Askarov;1;0;34 of 82;30 of 63;41%;47%;70 of 120;53 of 90;1 of 1;4 of 11;100%;36%;0;0;1;1;6:24;3:59;28 of 69;24 of 56;6 of 12;4 of 5;0 of 1;2 of 2;18 of 55;9 of 39;2 of 2;4 of 4;14 of 25;17 of 20;Decision - Split;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;September 21, 2019;Mexico City, Distrito Federal, Mexico;Flyweight Bout;
Irene Aldana;Vanessa Melo;0;0;125 of 333;68 of 250;37%;27%;127 of 335;68 of 250;0 of 0;0 of 1;---;0%;0;0;0;0;0:00;0:13;79 of 271;48 of 207;21 of 34;9 of 28;25 of 28;11 of 15;124 of 332;68 of 250;1 of 1;0 of 0;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Fernando Salas Navarro;September 21, 2019;Mexico City, Distrito Federal, Mexico;Women's Bantamweight Bout;Irene Aldana
Yair Rodriguez;Jeremy Stephens;0;0;2 of 2;0 of 1;100%;0%;2 of 2;0 of 1;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;0 of 0;0 of 1;0 of 0;0 of 0;2 of 2;0 of 0;2 of 2;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;Could Not Continue;1;0:15;5 Rnd (5-5-5-5-5);Herb Dean;September 21, 2019;Mexico City, Distrito Federal, Mexico;Featherweight Bout;
Vinicius Moreira;Paul Craig;0;1;1 of 3;18 of 27;33%;66%;1 of 3;33 of 43;0 of 0;1 of 1;---;100%;0;1;0;0;0:51;2:08;0 of 2;16 of 25;0 of 0;2 of 2;1 of 1;0 of 0;1 of 3;1 of 3;0 of 0;6 of 6;0 of 0;11 of 18;Submission;1;3:19;3 Rnd (5-5-5);Dan Miragliotta;September 21, 2019;Mexico City, Distrito Federal, Mexico;Light Heavyweight Bout;Paul Craig
Claudio Puelles;Marcos Mariano;0;0;22 of 34;2 of 9;64%;22%;101 of 116;5 of 12;4 of 6;0 of 0;66%;---;2;0;0;0;13:20;0:48;21 of 32;0 of 6;1 of 2;2 of 3;0 of 0;0 of 0;1 of 5;2 of 8;0 of 0;0 of 0;21 of 29;0 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Fernando Salas Navarro;September 21, 2019;Mexico City, Distrito Federal, Mexico;Lightweight Bout;Claudio Puelles
Sijara Eubanks;Bethe Correia;0;0;77 of 169;59 of 127;45%;46%;94 of 186;77 of 146;1 of 5;0 of 1;20%;0%;0;0;0;0;2:25;1:24;58 of 138;42 of 101;12 of 23;12 of 19;7 of 8;5 of 7;55 of 140;54 of 118;8 of 10;5 of 9;14 of 19;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;September 21, 2019;Mexico City, Distrito Federal, Mexico;Women's Bantamweight Bout;Bethe Correia
Sergio Pettis;Tyson Nam;0;0;96 of 253;40 of 170;37%;23%;96 of 253;43 of 173;0 of 0;0 of 0;---;---;0;0;0;0;0:02;0:46;76 of 224;28 of 149;5 of 13;7 of 15;15 of 16;5 of 6;90 of 245;38 of 164;5 of 7;2 of 6;1 of 1;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;September 21, 2019;Mexico City, Distrito Federal, Mexico;Flyweight Bout;Sergio Pettis
Donald Cerrone;Justin Gaethje;0;1;17 of 52;40 of 61;32%;65%;17 of 52;40 of 61;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:04;12 of 45;27 of 44;4 of 6;0 of 2;1 of 1;13 of 15;17 of 52;36 of 55;0 of 0;2 of 3;0 of 0;2 of 3;KO/TKO;1;4:18;5 Rnd (5-5-5-5-5);Jerin Valel;September 14, 2019;Vancouver, British Columbia, Canada;Lightweight Bout;Justin Gaethje
Misha Cirkunov;Jimmy Crute;0;0;6 of 10;21 of 35;60%;60%;22 of 29;28 of 45;1 of 2;0 of 0;50%;---;1;0;2;1;2:30;0:44;4 of 8;19 of 33;2 of 2;2 of 2;0 of 0;0 of 0;1 of 3;2 of 3;2 of 3;4 of 5;3 of 4;15 of 27;Submission;1;3:38;3 Rnd (5-5-5);Yves Lavigne;September 14, 2019;Vancouver, British Columbia, Canada;Light Heavyweight Bout;Misha Cirkunov
Cole Smith;Miles Johns;0;0;11 of 57;31 of 65;19%;47%;26 of 75;63 of 104;1 of 6;1 of 2;16%;50%;0;0;0;1;8:31;2:52;4 of 42;29 of 62;7 of 15;2 of 3;0 of 0;0 of 0;9 of 53;20 of 53;2 of 4;7 of 7;0 of 0;4 of 5;Decision - Split;3;5:00;3 Rnd (5-5-5);Jerin Valel;September 14, 2019;Vancouver, British Columbia, Canada;Bantamweight Bout;Miles Johns
Marcin Tybura;Augusto Sakai;0;1;6 of 7;15 of 27;85%;55%;6 of 7;15 of 27;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:03;1 of 2;13 of 25;1 of 1;2 of 2;4 of 4;0 of 0;6 of 7;6 of 18;0 of 0;7 of 7;0 of 0;2 of 2;KO/TKO;1;0:59;3 Rnd (5-5-5);Jason Herzog;September 14, 2019;Vancouver, British Columbia, Canada;Heavyweight Bout;Augusto Sakai
Uriah Hall;Antonio Carlos Junior;1;0;34 of 79;22 of 69;43%;31%;41 of 86;81 of 148;0 of 0;3 of 8;---;37%;0;0;0;0;0:25;10:42;31 of 75;16 of 63;3 of 4;5 of 5;0 of 0;1 of 1;22 of 61;18 of 65;1 of 1;2 of 2;11 of 17;2 of 2;Decision - Split;3;5:00;3 Rnd (5-5-5);Jerin Valel;September 14, 2019;Vancouver, British Columbia, Canada;Middleweight Bout;Uriah Hall
Glover Teixeira;Nikita Krylov;0;0;43 of 71;47 of 95;60%;49%;85 of 119;74 of 123;1 of 6;2 of 4;16%;50%;2;1;2;1;4:22;4:39;39 of 67;20 of 66;4 of 4;17 of 19;0 of 0;10 of 10;22 of 45;37 of 85;10 of 10;3 of 3;11 of 16;7 of 7;Decision - Split;3;5:00;3 Rnd (5-5-5);Yves Lavigne;September 14, 2019;Vancouver, British Columbia, Canada;Light Heavyweight Bout;Glover Teixeira
Todd Duffee;Jeff Hughes;1;0;30 of 66;16 of 29;45%;55%;38 of 74;26 of 39;1 of 3;0 of 0;33%;---;0;0;0;0;1:56;0:15;25 of 60;12 of 24;5 of 6;0 of 0;0 of 0;4 of 5;19 of 51;14 of 23;9 of 12;2 of 6;2 of 3;0 of 0;Could Not Continue;1;4:03;3 Rnd (5-5-5);Kevin Dornan;September 14, 2019;Vancouver, British Columbia, Canada;Heavyweight Bout;
Michel Pereira;Tristan Connelly;0;0;32 of 75;64 of 125;42%;51%;56 of 107;151 of 222;2 of 5;0 of 6;40%;0%;0;1;0;0;3:03;5:43;13 of 44;51 of 106;17 of 29;7 of 13;2 of 2;6 of 6;23 of 66;23 of 71;9 of 9;14 of 20;0 of 0;27 of 34;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;September 14, 2019;Vancouver, British Columbia, Canada;Welterweight Bout;Tristan Connelly
Louis Smolka;Ryan MacDonald;1;0;59 of 115;30 of 80;51%;37%;60 of 116;31 of 81;0 of 0;0 of 0;---;---;0;0;0;0;0:09;0:05;27 of 61;20 of 65;31 of 52;6 of 11;1 of 2;4 of 4;57 of 112;30 of 79;2 of 3;0 of 1;0 of 0;0 of 0;KO/TKO;1;4:43;3 Rnd (5-5-5);John Cooper;September 14, 2019;Vancouver, British Columbia, Canada;Bantamweight Bout;Louis Smolka
Kyle Prepolec;Austin Hubbard;0;0;44 of 122;51 of 112;36%;45%;46 of 124;136 of 239;0 of 1;3 of 5;0%;60%;0;0;0;0;0:48;5:42;23 of 88;20 of 68;9 of 19;14 of 26;12 of 15;17 of 18;42 of 120;41 of 100;2 of 2;0 of 0;0 of 0;10 of 12;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin Dornan;September 14, 2019;Vancouver, British Columbia, Canada;Lightweight Bout;Austin Hubbard
Chas Skelly;Jordan Griffin;0;0;21 of 59;37 of 87;35%;42%;80 of 125;66 of 122;1 of 3;1 of 1;33%;100%;3;2;1;2;8:34;2:56;20 of 52;36 of 84;1 of 7;1 of 3;0 of 0;0 of 0;20 of 58;32 of 81;0 of 0;0 of 0;1 of 1;5 of 6;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Yves Lavigne;September 14, 2019;Vancouver, British Columbia, Canada;Featherweight Bout;Chas Skelly
Brad Katona;Hunter Azure;0;0;21 of 60;41 of 118;35%;34%;40 of 83;55 of 133;3 of 12;0 of 1;25%;0%;0;0;0;1;6:22;0:29;18 of 51;25 of 91;2 of 7;11 of 20;1 of 2;5 of 7;17 of 54;33 of 105;4 of 6;6 of 8;0 of 0;2 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John Cooper;September 14, 2019;Vancouver, British Columbia, Canada;Bantamweight Bout;Hunter Azure
Zubaira Tukhugov;Lerone Murphy;1;0;22 of 58;28 of 78;37%;35%;28 of 68;65 of 116;6 of 8;0 of 0;75%;---;0;2;1;1;0:15;9:29;20 of 53;12 of 55;2 of 5;13 of 20;0 of 0;3 of 3;10 of 37;23 of 73;7 of 11;2 of 2;5 of 10;3 of 3;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;Featherweight Bout;
Curtis Blaydes;Shamil Abdurakhimov;0;0;25 of 43;3 of 8;58%;37%;46 of 74;3 of 8;5 of 5;0 of 0;100%;---;0;0;0;0;6:07;0:00;23 of 41;3 of 7;1 of 1;0 of 1;1 of 1;0 of 0;2 of 10;3 of 8;0 of 0;0 of 0;23 of 33;0 of 0;KO/TKO;2;2:22;3 Rnd (5-5-5);Marc Goddard;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;Heavyweight Bout;Curtis Blaydes
Liana Jojua;Sarah Moras;0;0;19 of 45;44 of 88;42%;50%;45 of 77;130 of 191;2 of 3;0 of 0;66%;---;0;1;0;1;2:20;6:35;12 of 38;35 of 78;6 of 6;6 of 7;1 of 1;3 of 3;16 of 41;16 of 51;1 of 1;1 of 2;2 of 3;27 of 35;KO/TKO;3;2:26;3 Rnd (5-5-5);Marc Goddard;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;Women's Bantamweight Bout;Sarah Moras
Islam Makhachev;Davi Ramos;1;0;43 of 95;7 of 58;45%;12%;88 of 148;27 of 80;0 of 1;0 of 1;0%;0%;0;0;0;0;4:39;0:25;32 of 81;5 of 43;7 of 10;1 of 14;4 of 4;1 of 1;29 of 74;5 of 56;3 of 3;2 of 2;11 of 18;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Peter Hickmott;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;Lightweight Bout;Islam Makhachev
Khabib Nurmagomedov;Dustin Poirier;0;0;22 of 41;12 of 39;53%;30%;54 of 77;30 of 57;7 of 8;0 of 0;87%;---;2;1;0;0;8:52;0:00;16 of 35;5 of 26;3 of 3;2 of 7;3 of 3;5 of 6;10 of 27;12 of 38;1 of 1;0 of 1;11 of 13;0 of 0;Submission;3;2:06;5 Rnd (5-5-5-5-5);Marc Goddard;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;UFC Lightweight Title Bout;Khabib Nurmagomedov
Edson Barboza;Paul Felder;0;0;60 of 114;56 of 154;52%;36%;77 of 133;75 of 174;1 of 3;0 of 2;33%;0%;0;0;0;0;1:49;2:03;27 of 74;41 of 137;19 of 24;9 of 10;14 of 16;6 of 7;55 of 109;51 of 147;0 of 0;1 of 1;5 of 5;4 of 6;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;Lightweight Bout;Paul Felder
Joanne Calderwood;Andrea Lee;0;0;101 of 230;61 of 137;43%;44%;158 of 293;104 of 185;2 of 4;3 of 5;50%;60%;0;0;0;0;2:13;4:19;40 of 138;13 of 73;16 of 38;26 of 39;45 of 54;22 of 25;94 of 222;57 of 132;7 of 8;2 of 3;0 of 0;2 of 2;Decision - Split;3;5:00;3 Rnd (5-5-5);Vjacheslav Kiselev;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;Women's Flyweight Bout;Joanne Calderwood
Mairbek Taisumov;Diego Ferreira;0;0;51 of 160;109 of 326;31%;33%;51 of 160;112 of 329;0 of 2;0 of 2;0%;0%;0;0;0;0;0:01;0:19;40 of 139;77 of 271;5 of 13;25 of 46;6 of 8;7 of 9;51 of 160;107 of 323;0 of 0;2 of 3;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;Lightweight Bout;Diego Ferreira
Ottman Azaitar;Teemu Packalen;1;0;27 of 53;8 of 19;50%;42%;27 of 53;8 of 19;0 of 0;0 of 1;---;0%;0;0;0;0;0:11;0:00;22 of 44;3 of 12;2 of 6;5 of 6;3 of 3;0 of 1;18 of 40;3 of 13;8 of 11;5 of 6;1 of 2;0 of 0;KO/TKO;1;3:33;3 Rnd (5-5-5);Peter Hickmott;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;Lightweight Bout;Ottman Azaitar
Omari Akhmedov;Zak Cummings;0;0;26 of 77;17 of 69;33%;24%;47 of 106;24 of 76;2 of 3;0 of 0;66%;---;0;0;0;0;3:39;0:00;14 of 60;6 of 51;5 of 10;2 of 7;7 of 7;9 of 11;21 of 67;17 of 69;0 of 2;0 of 0;5 of 8;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;Middleweight Bout;Omari Akhmedov
Belal Muhammad;Takashi Sato;0;0;49 of 106;29 of 89;46%;32%;78 of 148;34 of 95;2 of 9;1 of 2;22%;50%;1;0;0;0;2:31;0:38;40 of 85;23 of 79;7 of 19;4 of 8;2 of 2;2 of 2;42 of 98;29 of 89;3 of 4;0 of 0;4 of 4;0 of 0;Submission;3;1:55;3 Rnd (5-5-5);Vjacheslav Kiselev;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;Welterweight Bout;Belal Muhammad
Don Madge;Fares Ziam;0;0;21 of 49;10 of 31;42%;32%;72 of 111;70 of 96;3 of 12;0 of 4;25%;0%;0;0;0;0;9:37;2:26;11 of 36;6 of 26;6 of 7;1 of 2;4 of 6;3 of 3;8 of 27;8 of 25;3 of 8;2 of 4;10 of 14;0 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Peter Hickmott;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;Lightweight Bout;Don Madge
Nordine Taleb;Muslim Salikhov;0;1;6 of 26;10 of 23;23%;43%;6 of 26;10 of 23;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:02;3 of 16;1 of 10;0 of 5;2 of 6;3 of 5;7 of 7;6 of 25;10 of 23;0 of 0;0 of 0;0 of 1;0 of 0;KO/TKO;1;4:26;3 Rnd (5-5-5);Herb Dean;September 07, 2019;Abu Dhabi, Abu Dhabi, United Arab Emirates;Welterweight Bout;Muslim Salikhov
Da-Un Jung;Khadis Ibragimov;0;0;81 of 190;88 of 167;42%;52%;86 of 195;95 of 175;0 of 1;1 of 6;0%;16%;1;0;0;0;0:05;3:10;69 of 176;83 of 161;12 of 14;4 of 5;0 of 0;1 of 1;69 of 177;70 of 137;12 of 13;18 of 30;0 of 0;0 of 0;Submission;3;1:59;3 Rnd (5-5-5);Leon Roberts;August 31, 2019;Shenzhen, Guangdong, China;Light Heavyweight Bout;Da-Un Jung
Kai Kara-France;Mark De La Rosa;1;0;91 of 193;60 of 195;47%;30%;93 of 195;63 of 198;1 of 1;1 of 7;100%;14%;0;0;0;0;0:20;1:12;58 of 146;51 of 174;9 of 19;4 of 10;24 of 28;5 of 11;85 of 183;58 of 192;2 of 3;2 of 3;4 of 7;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Steve Perceval;August 31, 2019;Shenzhen, Guangdong, China;Flyweight Bout;Kai Kara-France
Li Jingliang;Elizeu Zaleski dos Santos;3;0;59 of 128;54 of 160;46%;33%;59 of 128;55 of 162;2 of 3;0 of 1;66%;0%;0;0;0;0;0:22;0:24;45 of 108;23 of 114;4 of 6;21 of 33;10 of 14;10 of 13;47 of 113;51 of 156;8 of 11;3 of 4;4 of 4;0 of 0;KO/TKO;3;4:51;3 Rnd (5-5-5);John Sharp;August 31, 2019;Shenzhen, Guangdong, China;Welterweight Bout;Li Jingliang
Su Mudaerji;Andre Soukhamthath;0;0;93 of 157;23 of 72;59%;31%;103 of 168;27 of 76;1 of 1;0 of 3;100%;0%;0;0;0;0;3:38;1:27;72 of 127;13 of 55;10 of 17;4 of 9;11 of 13;6 of 8;64 of 111;20 of 64;3 of 3;2 of 4;26 of 43;1 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Thomas Fan;August 31, 2019;Shenzhen, Guangdong, China;Bantamweight Bout;Su Mudaerji
Wu Yanan;Inoue Mizuki;0;0;123 of 270;93 of 204;45%;45%;136 of 283;102 of 214;0 of 4;0 of 4;0%;0%;0;0;0;0;0:29;0:36;65 of 198;86 of 195;41 of 51;7 of 9;17 of 21;0 of 0;95 of 235;74 of 182;28 of 35;19 of 22;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Thomas Fan;August 31, 2019;Shenzhen, Guangdong, China;Women's Flyweight Bout;Inoue Mizuki
Jessica Andrade;Zhang Weili;0;1;4 of 12;29 of 38;33%;76%;4 of 12;29 of 38;0 of 0;0 of 0;---;---;0;0;0;0;0:05;0:01;2 of 9;16 of 25;1 of 2;7 of 7;1 of 1;6 of 6;3 of 11;15 of 23;1 of 1;13 of 13;0 of 0;1 of 2;KO/TKO;1;0:42;5 Rnd (5-5-5-5-5);Leon Roberts;August 31, 2019;Shenzhen, Guangdong, China;UFC Women's Strawweight Title Bout;Zhang Weili
Song Kenan;Derrick Krantz;0;0;58 of 128;33 of 85;45%;38%;61 of 131;52 of 105;0 of 0;3 of 6;---;50%;0;1;1;1;0:36;5:38;44 of 98;23 of 74;6 of 19;6 of 7;8 of 11;4 of 4;54 of 122;30 of 78;4 of 6;1 of 4;0 of 0;2 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John Sharp;August 31, 2019;Shenzhen, Guangdong, China;Welterweight Bout;Song Kenan
Junyong Park;Anthony Hernandez;0;0;81 of 148;59 of 110;54%;53%;84 of 152;74 of 129;0 of 0;6 of 9;---;66%;0;1;0;0;0:16;4:32;76 of 142;51 of 102;5 of 6;7 of 7;0 of 0;1 of 1;73 of 136;49 of 97;8 of 12;3 of 6;0 of 0;7 of 7;Submission;2;4:39;3 Rnd (5-5-5);Steve Perceval;August 31, 2019;Shenzhen, Guangdong, China;Middleweight Bout;Anthony Hernandez
